name,value,year,last value,rank
Star Wars Jedi: Fallen Order,662759,23,#N/A,2
Marvel's Jessica Jones,605916,23,#N/A,3
Swamp Thing,602659,23,328668,4
Godzilla: King of the Monsters,533830,23,713262,5
Pokemon Shield,439663,23,#N/A,6
Game of Thrones,390167,23,1310942,7
Final Fantasy VII Remake,273191,23,#N/A,8
Black Mirror,248050,23,#N/A,9
Marvel's Avengers,1819844,24,#N/A,0
Cyberpunk 2077,1402511,24,#N/A,1
Dark Phoenix,913678,24,1115977,2
Final Fantasy VII Remake,659251,24,273191,3
Xbox Series X,560130,24,#N/A,4
The Legend of Zelda: Breath of the Wild 2,522248,24,#N/A,5
Men in Black International,458237,24,#N/A,6
Star Wars Jedi: Fallen Order,450768,24,662759,7
Elden Ring,357129,24,#N/A,8
Game of Thrones,306299,24,390167,9
Final Fantasy VII Remake,774424,25,659251,0
Avengers: Endgame,538579,25,#N/A,1
Marvel's Jessica Jones,501110,25,#N/A,2
The Amazing Spider-Man [2018 - Current],362431,25,#N/A,3
Spider-Man: Far From Home,359968,25,#N/A,4
Keanu Reeves,356904,25,#N/A,5
J.J. Abrams,301808,25,#N/A,6
Cyberpunk 2077,270961,25,1402511,7
Marvel's Avengers,241658,25,1819844,8
Toy Story 4,241636,25,#N/A,9
Spider-Man: Far From Home,1094386,26,359968,0
Marvel's Jessica Jones,736731,26,501110,1
Avengers: Endgame,696350,26,538579,2
Game of Thrones,505477,26,#N/A,3
Toy Story 4,339141,26,241636,4
Super Mario Maker 2,315173,26,#N/A,5
Bloodstained: Ritual of the Night,250923,26,#N/A,6
The Sinking City,237250,26,#N/A,7
Final Fantasy VII Remake,228063,26,774424,8
Spider-Man: Into the Spider-Verse,225121,26,#N/A,9
The Witcher,3979423,27,#N/A,0
Spider-Man: Far From Home,1486312,27,1094386,1
Stranger Things,1152502,27,#N/A,2
The Walking Dead,665211,27,#N/A,3
The Lion King,475718,27,#N/A,4
Marvel's Jessica Jones,224999,27,736731,5
Marvel's Spider-Man,220527,27,#N/A,6
Star Wars Jedi: Fallen Order,214001,27,#N/A,7
Sea of Solitude,201029,27,#N/A,8
The Walking Dead #193,191829,27,#N/A,9
Spider-Man: Far From Home,1649767,28,1486312,0
Stranger Things,1386622,28,1152502,1
Marvel's Jessica Jones,977194,28,224999,2
Nintendo Switch Lite,657107,28,#N/A,3
Pokemon Sword,554415,28,#N/A,4
Nintendo Switch,490070,28,#N/A,5
Spider-Man 4 [Sam Raimi],488120,28,#N/A,6
Sonic the Hedgehog: The Movie,420200,28,#N/A,7
The Lion King,360664,28,475718,8
The Witcher,290384,28,3979423,9
Star Wars: The Rise of Skywalker,989608,29,#N/A,0
Game of Thrones,909988,29,#N/A,1
The Witcher,819531,29,290384,2
Terminator: Dark Fate,624510,29,#N/A,3
Star Trek: Picard,545755,29,#N/A,4
Black Panther 2,484930,29,#N/A,5
The Expanse,481785,29,#N/A,6
Spider-Man: Far From Home,476626,29,1649767,7
Marvel's Daredevil,453839,29,#N/A,8
Marvel Ultimate Alliance 3: The Black Order,423458,29,#N/A,9
Marvel's Thor: Love and Thunder,1201760,30,#N/A,0
Avengers: Endgame,639650,30,#N/A,1
Marvel's Blade,550057,30,#N/A,2
House of X,513649,30,#N/A,3
Marvel's Jessica Jones,494677,30,#N/A,4
Zombieland: Double Tap,478492,30,#N/A,5
Other,440039,30,#N/A,6
Fire Emblem: Three Houses,427307,30,#N/A,7
Assassin's Creed Odyssey,423626,30,#N/A,8
Marvel's Black Widow,415549,30,#N/A,9
Avengers: Endgame,991520,31,639650,0
Fortnite,703091,31,#N/A,1
Game of Thrones,487799,31,#N/A,2
Fast & Furious Presents: Hobbs & Shaw,352789,31,#N/A,3
Call of Duty: Modern Warfare,331347,31,#N/A,4
The Boys,320230,31,#N/A,5
Madden NFL 20,301478,31,#N/A,6
The Lion King,285932,31,#N/A,7
Marvel's Thor: Love and Thunder,263187,31,1201760,8
Sonic the Hedgehog: The Movie,193474,31,#N/A,9
Arrow,1259198,32,#N/A,0
Marvel's What If...,567241,32,#N/A,1
House of X,505146,32,#N/A,2
Borderlands 3,351224,32,#N/A,3
WWE 2K20,256955,32,#N/A,4
Avengers: Endgame,248391,32,991520,5
Call of Duty: Modern Warfare,245742,32,331347,6
Nintendo World Championships 1990,241717,32,#N/A,7
Pokemon Shield,230703,32,#N/A,8
No Man's Sky,225882,32,#N/A,9
Avengers: Endgame,1156077,33,248391,0
Marvel's The Eternals,447923,33,#N/A,1
Pokemon Trading Card Game,408922,33,#N/A,2
The Wheel of Time,403215,33,#N/A,3
Arrow,397540,33,1259198,4
SEGA Genesis Mini,334118,33,#N/A,5
Fantastic Four [2018 - Current],233312,33,#N/A,6
The Boys,231637,33,#N/A,7
The Witcher,218023,33,#N/A,8
Borderlands 3,191340,33,351224,9
Cyberpunk 2077,2827661,34,#N/A,0
Spider-Man: Far From Home,2310691,34,#N/A,1
Star Wars: The Rise of Skywalker,880421,34,#N/A,2
The Boys,481141,34,231637,3
Death Stranding,398652,34,#N/A,4
Marvel's Avengers,389906,34,#N/A,5
Pokemon Trading Card Game,344041,34,408922,6
Star Wars: The Mandalorian,309041,34,#N/A,7
Mortal Kombat [2021],295251,34,#N/A,8
Marvel's The Eternals,280286,34,447923,9
Star Wars: The Rise of Skywalker,2618974,35,880421,0
Cyberpunk 2077,1149968,35,2827661,1
Joker,1033580,35,#N/A,2
Marvel's Black Widow,992412,35,#N/A,3
Avengers: Endgame,599336,35,#N/A,4
Astral Chain,584140,35,#N/A,5
Fire Emblem: Three Houses,573783,35,#N/A,6
Spider-Man: Far From Home,540453,35,2310691,7
The Dark Crystal: Age of Resistance,480415,35,#N/A,8
Mortal Kombat [2021],440283,35,295251,9
Star Wars: Galaxy's Edge,1466626,36,#N/A,0
Joker,1015729,36,1033580,1
God of War,952095,36,#N/A,2
Nintendo Switch,760027,36,#N/A,3
Star Wars: The Mandalorian,696406,36,#N/A,4
Stephen King's IT Chapter Two,655392,36,#N/A,5
Fire Emblem: Three Houses,597855,36,573783,6
Gears 5,485995,36,#N/A,7
Star Wars: The Rise of Skywalker,485800,36,2618974,8
Call of Duty: Modern Warfare,372953,36,#N/A,9
Borderlands 3,1639008,37,#N/A,0
iPhone 11,888230,37,#N/A,1
SEGA Genesis Mini,593294,37,#N/A,2
The Suicide Squad,576224,37,#N/A,3
Gears 5,419998,37,485995,4
PT,319153,37,#N/A,5
Batman,305997,37,#N/A,6
Call of Duty: Modern Warfare,297650,37,372953,7
NBA 2K20,297169,37,#N/A,8
Stephen King's IT Chapter Two,294977,37,655392,9
The Legend of Zelda: Link's Awakening,749375,38,#N/A,0
Mortal Kombat [2021],724916,38,#N/A,1
Death Stranding,561133,38,#N/A,2
Rambo: Last Blood,558929,38,#N/A,3
Borderlands 3,542612,38,1639008,4
Smallville,285896,38,#N/A,5
Pokemon Shield,265329,38,#N/A,6
Arrow,260506,38,#N/A,7
GreedFall,260286,38,#N/A,8
FIFA 20,249325,38,#N/A,9
Star Wars: The Rise of Skywalker,2500967,39,#N/A,0
Star Wars Jedi: Fallen Order,1326489,39,#N/A,1
Marvel's Jessica Jones,1178857,39,#N/A,2
The Last of Us Part II,1058569,39,#N/A,3
Joker,1001776,39,#N/A,4
Star Wars: The Mandalorian,769331,39,#N/A,5
Spider-Man: Far From Home,602983,39,#N/A,6
Call of Duty: Modern Warfare,570317,39,#N/A,7
Spider-Man 3 [Tom Holland Sequel],342571,39,#N/A,8
BoJack Horseman,331970,39,#N/A,9
Magic: The Gathering,1755313,40,#N/A,0
Joker,711489,40,1001776,1
Transformers,582902,40,#N/A,2
Star Wars: The Rise of Skywalker,499904,40,2500967,3
The Walking Dead,408164,40,#N/A,4
Supergirl,375665,40,#N/A,5
Pokemon Sword,359429,40,#N/A,6
Marvel's Avengers,354193,40,#N/A,7
Fire Emblem: Three Houses,334393,40,#N/A,8
Captain Marvel,295056,40,#N/A,9
Joker,1680909,41,711489,0
PlayStation 5,1158643,41,#N/A,1
El Camino: A Breaking Bad Movie,1151763,41,#N/A,2
Captain Marvel,574119,41,295056,3
Gemini Man,436443,41,#N/A,4
Other,374144,41,#N/A,5
Star Wars (Hasbro),342452,41,#N/A,6
Star Wars: The Mandalorian,299940,41,#N/A,7
Star Wars: The Rise of Skywalker,288088,41,499904,8
Hearthstone: Heroes of WarCraft,285797,41,#N/A,9
Call of Duty: Modern Warfare,1740258,42,#N/A,0
Fortnite,1319086,42,#N/A,1
Joker,1164367,42,1680909,2
The Batman,768897,42,#N/A,3
El Camino: A Breaking Bad Movie,728614,42,1151763,4
Pokemon Shield,591678,42,#N/A,5
Roseanne,545464,42,#N/A,6
Zombieland: Double Tap,542605,42,#N/A,7
Star Wars Jedi: Fallen Order,524184,42,#N/A,8
Disco Elysium,427290,42,#N/A,9
Star Wars: The Rise of Skywalker,4985014,43,#N/A,0
Call of Duty: Modern Warfare,1428696,43,1740258,1
WWE 2K20,1260780,43,#N/A,2
The Witcher,1112931,43,#N/A,3
The Outer Worlds,892572,43,#N/A,4
J.R.R. Tolkien's The Lord of the Rings Project,796451,43,#N/A,5
Watchmen: The Series,698043,43,#N/A,6
Joker,655878,43,1164367,7
Terminator: Dark Fate,584302,43,#N/A,8
Avengers: Infinity War,460567,43,#N/A,9
Stranger Things,2439996,44,#N/A,0
Death Stranding,2125697,44,#N/A,1
Call of Duty: Modern Warfare,1219056,44,1428696,2
BoJack Horseman,856088,44,#N/A,3
Diablo IV,819391,44,#N/A,4
Star Wars: The Mandalorian,778119,44,#N/A,5
The Witcher,684418,44,1112931,6
Star Wars -- David Benioff / D.B. Weiss Series,674697,44,#N/A,7
Luigi's Mansion 3,671697,44,#N/A,8
Red Dead Redemption 2,452109,44,#N/A,9
Death Stranding,2090623,45,2125697,0
BoJack Horseman,1407299,45,856088,1
Luigi's Mansion 3,622638,45,671697,2
Avengers: Endgame,560252,45,#N/A,3
Call of Duty: Modern Warfare,459425,45,1219056,4
Call of Duty,405476,45,#N/A,5
Watchmen: The Series,370780,45,#N/A,6
Joker,302045,45,#N/A,7
Pokemon Sword,295034,45,#N/A,8
Star Wars: The Rise of Skywalker,276838,45,#N/A,9
Pokemon Sword,3743715,46,295034,0
Star Wars Jedi: Fallen Order,3712914,46,#N/A,1
Star Wars: The Mandalorian,1942768,46,#N/A,2
Death Stranding,1209482,46,2090623,3
Sonic the Hedgehog: The Movie,722250,46,#N/A,4
Marvel's What If...,675506,46,#N/A,5
BoJack Horseman,440767,46,1407299,6
Luigi's Mansion 3,351433,46,622638,7
Avengers: Endgame,346847,46,560252,8
Supergirl,333853,46,#N/A,9
Pokemon Sword,2359919,47,3743715,0
Star Wars: The Mandalorian,1901313,47,1942768,1
Star Wars Jedi: Fallen Order,1882874,47,3712914,2
Star Wars: The Rise of Skywalker,1680016,47,#N/A,3
Batwoman,1519941,47,#N/A,4
PlayStation 5,786245,47,#N/A,5
Death Stranding,374003,47,1209482,6
Frozen 2,322696,47,#N/A,7
Half-Life: Alyx,319315,47,#N/A,8
Watchmen: The Series,303576,47,#N/A,9
Star Wars: The Mandalorian,1830514,48,1901313,0
Magic: The Gathering,1737634,48,#N/A,1
Star Wars: The Rise of Skywalker,1418740,48,1680016,2
Final Fantasy VII Remake,1336247,48,#N/A,3
Batwoman,461293,48,1519941,4
Pokemon Sword,454165,48,2359919,5
Dragon Ball Z,407994,48,#N/A,6
Watchmen: The Series,368023,48,303576,7
Call of Duty: Modern Warfare,335750,48,#N/A,8
1917,297501,48,#N/A,9
Star Wars: The Mandalorian,1304045,49,1830514,0
Fire Emblem: Three Houses,1045123,49,#N/A,1
The Witcher,1019851,49,#N/A,2
Star Wars: The Rise of Skywalker,678917,49,1418740,3
No Time To Die,635872,49,#N/A,4
Marvel's Black Widow,545106,49,#N/A,5
Star Wars: Galaxy's Edge,450520,49,#N/A,6
Game of Thrones,431539,49,#N/A,7
Other,420604,49,#N/A,8
Birds of Prey and the Fantabulous Emancipation of one Harley Quinn,371489,49,#N/A,9
Xbox Series X,2470016,50,#N/A,0
Star Wars: The Mandalorian,1897982,50,1304045,1
Wonder Woman 1984,826723,50,#N/A,2
Resident Evil 3,661083,50,#N/A,3
BoJack Horseman,532466,50,#N/A,4
Star Wars: The Rise of Skywalker,490535,50,678917,5
Arrow,488668,50,#N/A,6
Ghostbusters: Afterlife,399701,50,#N/A,7
Supergirl,389617,50,#N/A,8
Free Guy,354135,50,#N/A,9
Star Wars: The Rise of Skywalker,5419686,51,490535,0
The Witcher,2080693,51,#N/A,1
Star Wars: The Mandalorian,1083627,51,1897982,2
BoJack Horseman,813941,51,532466,3
Marvel's The Eternals,503640,51,#N/A,4
Watchmen: The Series,487130,51,#N/A,5
Star Wars: The Last Jedi,461321,51,#N/A,6
Glass,456265,51,#N/A,7
Star Wars Battlefront II,453604,51,#N/A,8
Little Monsters [2019],439830,51,#N/A,9
Star Wars: The Rise of Skywalker,5994673,52,5419686,0
The Witcher,2865738,52,2080693,1
Cats,917205,52,#N/A,2
Star Wars: The Mandalorian,912971,52,1083627,3
Luigi's Mansion 3,435021,52,#N/A,4
BoJack Horseman,327411,52,813941,5
Star Wars Jedi: Fallen Order,313291,52,#N/A,6
Cyberpunk 2077,291932,52,#N/A,7
Control,259695,52,#N/A,8
Xbox Series X,225458,52,#N/A,9
Star Wars: The Rise of Skywalker,1175575,53,5994673,0
The Witcher,857835,53,2865738,1
Dota 2,783536,53,#N/A,2
Parasite,491571,53,#N/A,3
Avengers: Endgame,409822,53,#N/A,4
Star Wars: The Mandalorian,364076,53,912971,5
Cats,352130,53,917205,6
Watchmen: The Series,324191,53,#N/A,7
Luigi's Mansion 3,234388,53,435021,8
Marvel's WandaVision,210283,53,#N/A,9
